irga,Fellow Light Roast (Orig),Fellow Med Roast (Orig),Fellow Dark Roast (Orig),"Asprotimana Women's Coffee Colombia Huila 
7-APR-25",Nick's Recommended Profile from James Hoffmann Review,April Ethiopia Regessa 31-MAR-25,"Dark Matter Coffee Sin Cafeína Decaf
26-MAR-25","Immigrant Culture Citrus Harmony
24-MAR-25","Onyx Monarch
19-MAR-25","Equator Coffees Thailand Mae Chedi Anaerobic Natural
17-MAR-25","Methodical Oscuro Dark Roast
17-MAR-25","Brandywine Rwanda Cyesha Natural
10-MAR-25","Brandywine “Haiku While You Brew” Rwanda Kanzu Natural
10-MAR-25",Kiss the Hippo Peru El Morito 3-MAR-25,Flower Child El Nevado Decaf 26-FEB-25,Passenger Colombia Divino Niño 24-FEB-25,Counter Culture Cueva de los Llanos 17-FEB-25,Counter Culture Intango Dark Roast 17-FEB-25,Coffee Collective Kenya Kieni AB 10-FEB-25,Heart Colombia Diomed Montano Tovar 3-FEB-25,Loquat Costa Rica Finca Inés Semi-Washed Geisha 29-JAN-25,Loquat Costa Rica San Roque Semi-Washed 29-JAN-25,Linea Guatemala La Esperanza 27-JAN-25,Camber Ethiopia Tadesse Yonka Gemada 27-JAN-25,Equator Decaf Rwanda Nyamyumba Natural 22-JAN-25,"Drink Coffee, Do Stuff Official Ski Club Blend 17-JAN-25",KOS: Armando Leivas Dark Roast 13-JAN-25,Special Guests: Andres Cardona Purple Honey 13-JAN-25,"Square Mile: The Filter Blend
12-JAN-25","Square Mile: Decaf Filter
12-JAN-25","Square Mile: Standard Filter
12-JAN-25","Sey: Burundi Heza 
Sey: Burundi Buckeye
6-JAN-25","Sq Mile: Eth Telila Kecho Anderacha
30-DEC-24","Sq Mile: Eth Shoondhisa
30-DEC-24","Olympia Amparo Pajoy
23-DEC-24","Mulugeta Muntasha byBoon Boona
16-DEC-24",Guatemala Cuevitas Anaerobic by Sightglass 16-DEC-24,"Proud Mary Ethiopia Yirg Adado Natural
10-DEC-24","Red Rooster Good Tidings Blend
9-DEC-24","Red Rooster Leg Lamp Blend
9-DEC-24","Driftaway Ratnagiri Rosewater
2-DEC-24",Natural Onyx Advent 2024,Honey Onyx Advent 2024,Washed Onyx Advent 2024,Yirgafecta! Sightseer,Colombia Los Nogales Special Guests,Wonderstate Organic Ethiopia Danche,Black & White Esteban Zamora Cinnamon Anearobic,Black & White The Future: Fruit Cake,Camber Ethiopia Buliye,Brandywine Felloween IV,La Cabra Kiamugumo,La Cabra Rigoberto Sanchez,Verve Miel de Flores,Onyx Ethiopia Yabitu Koba,Watercolor by Methodical (Med roast),Wendelboe Kenya Kapsokiso (light),"Qabballe by ILSE
Ethiopia Natural (light)","Obsidian by Utopian
Nicaragua & Colombia (dark)",The Well EA Sugarcane Decaf Colombia (medium),"Santa Felisa by Bean & Bean
Light Guatemala Natural",Alvaro Rodriguez LPET by Hydrangea (washed light),"Methodical Colombia Limonada de Coco (Rodrigo Sanchez coconut limeade double co-ferment, med-light)",Bold Bean Kenya Kamwangi AA (double-washed light-medium),Yak Lt Co Pink Bourbon,Yak Light,"Yak Med-Light
(City+)","Yak Medium
(Med-Full City)",Boiling Water
Profile Link,,,,https://brew.link/p/rqyy,https://brew.link/p/h8uK,https://brew.link/p/nX77,https://brew.link/p/ukuu,https://brew.link/p/7w55,https://brew.link/p/5VPP,https://brew.link/p/SMaa,https://brew.link/p/7Mrr,https://brew.link/p/JZxx,https://brew.link/p/Ltbb,https://brew.link/p/WkLL,https://brew.link/p/LGee,https://brew.link/p/bbY9,https://brew.link/p/3XKJ,https://brew.link/p/I47q,https://brew.link/p/ovuq,https://brew.link/p/jgl8,https://brew.link/p/Oas4,https://brew.link/p/pRZe,https://brew.link/p/n4on,https://brew.link/p/gVLc,https://brew.link/p/sWad,https://brew.link/p/MD9E,https://brew.link/p/xzIE,https://brew.link/p/8bA6,https://brew.link/p/C6tX,https://brew.link/p/Iuog,https://brew.link/p/Gb2Z,https://brew.link/p/mxdr,https://brew.link/p/4H46,https://brew.link/p/4H46,https://brew.link/p/1um9,https://brew.link/p/tnO5,https://brew.link/p/Vn3m,https://brew.link/p/P1Ep,https://brew.link/p/bcX9,https://brew.link/p/ksF3,https://brew.link/p/MsI5,,,,,,,,,,,,,,https://brew.link/p/8SmU,,https://brew.link/p/Ww3a,,,,,,,,,https://brew.link/p/F1bu,https://brew.link/p/tJ0v,https://brew.link/p/sTWP,
Origin,,,,"Huila, Colombia",,"Sidama, Ethiopia",Colombia,"Huila, Colombia","Colombia, Ethiopia","Chiang Rai, Thailand","São Paolo, Brazil","Nyamasheke, Rwanda","Nyamasheke, Rwanda","San Jose de Lourdes, Peru","Huila, Colombia","Huila, Colombia","Narino, Colombia","Karongi, Rwanda","Nyeri, Kenya",Colombia,"Western Valley, Costa Rica","Western Valley, Costa Rica","Antigua, Guatemala","Sidama, Ethiopia","Rubavu, Western Province, Rwanda",Colombia,"Zacapa, Guatemala","Antioquia, Colombia","Peru, Bolivia",Mexico,,Burundi,"Jimma, Ethiopia","Guji, Ethiopia","Huila, Colombia","Sidama, Ethiopia","Huehuetenango, Guatemala","Yirgacheffe, Ethiopia","Colombia, Ethiopia","Burundi, Latin America","Karnataka, India",Various,Various,Various,"Yirgacheffe, Ethiopia","Huila, Colombia","Gedeb, Ethiopia","Tarrazu, Costa Rica", ,"Guji, Ethiopia","Guji, Ethiopa",Kenya,"Huila, Colombia","Santa Barbara, Honduras","Guji, Ethiopia",Peru & Costa Rica,"Mt. Elgon, Kenya","Guji, Ethiopia",Nicaragua and Colombia ,Colombia,"Acatenango, Guatemala","Cundinamarca, Colombia","Huila, Colombia","Kirinyaga, Kenya","Huila, Colombia",-,-,-,-
Roast,,,,Medium,,Light,Medium,Light,Dark,Light,Dark,Light,Light,Light,Light,Light,Light,Dark,Light,,Light,Light - Medium,Medium-Light,Light,Light,Medium,Medium-Dark,Light,Light,Light,Light,Light,Light,Light,Medium,Light,Medium,Medium,,,Light,Various,Various,Various,Medium,Light-Medium,Light,Light - Medium,Medium,Light,Light,Light,Light,Light,,Medium,Light,Light,Dark,Medium,Light,Light,Medium-Light,Light-Medium,Light,Light,Medium Light,Medium,-
Processing,,,,Washed,,Natural,SWP,Washed,Washed,Anearobic Natural,Natural,Natural,Natural,Washed,"Washed, EA Decaf",Washed,Washed,Washed,Washed (Double Fermentation),,Semi-Washed,Semi-Washed,Washed,Natural,"Natural, SWP","Washed, Anaerobic Honey",Washed,Natural Honey Co-Ferment,Washed,"Washed, Ethyl Acetate",,Washed,Washed,Natural,Washed,Natural,Anaerobic Washed,Natural,,,Washed & Anaerobic,Various,Various,Various,Washed & Natural,"Various 
(3 combined lots)",Washed,Cinnamon Anaerobic,Cinnamon Anaerobic,Natural,Natural,Washed,Washed,Honey,Washed,Washed / Natural,Washed,Natural,-,EA Sugarcane Decaf,Natural,Bio Innovation Washed,Double Anaerobic Multi Process Co-Ferment,Washed,Double Washed,-,-,-,-
Varietal,,,,"Castillo, Caturra, Colombia",,Krume 74158,Castillo,Orange Bourbon,Various,Chiang Mai,"Mundo Novo, Catuai",Bourbon,Bourbon,"Bourbon, Caturra","Caturra, Castillo, Pink Bourbon",Field Blend,"Caturra, Castillo","Bourbon, Mayaguez 71 & 139, Jackson","SL28, SL34, Ruiru 11, Batian",,Geisha,San Roque,Bourbon,Heirloom,Bourbon,"Caturra, Castillo, Bourbon",Caturra,"Castillo, Colombia","Catuai, Pache, Catimor, Cattura, Typica","Caturra, Mondo Novo, Pluma Hidalgo",,Various,"JARC 74110, JARC 74112","Gibirinna 74110, Serto 74112","Caturra, Colombia, arusi","74112, 74158","San Ramon, Pacas",Heirloom,,,"Catuai, Cauvery",Various,Various,Various,Heirloom,"Caturra, Yellow Colombia, Typica",Landrace,"Caturra, Catuai","Caturra, Catuai",Heirloom,"74158, Heirloom","SL28, SL34",Pink Bourbon,"Pacas, Catuai, Catimor",Heirloom,"Caturra, Catuai, CR95, Pache","K7, SL28, Sl34",Landrace,"Catimor, Catuai, Parainema, Castillo, Caturra",,Yellow Catuai,Castillo,Purple Caturra,"SL-28, Ruiri 11, Batian",Pink Bourbon,-,-,-,-
Elevation,,,,"1,590-1,750 MASL",,"2,270 MASL","1,500-1,800 MASL","1,850 MASL",,"1,250 MASL","800-1,1100 MASL","1,550-1,800 MASL","1,800-2,100 MASL","1,750 MASL","1,900 MASL","1,300 - 1,700 MASL","1,900-2,100 MASL","1,500-2,000 MASL","1,600-1,800 MASL",,"1,600-1,800 MASL","1,600-1,800 MASL","1,500 MASL","2,050 MASL","1,500-2,000 MASL",,"1,500 MASL","1,650 AMSL",,,,"2,100 - 2,200 MASL","2,000 MASL","2,000 - 2,150 MASL","1,800 MASL","2,150 - 2,400 MASL","1,750 - 2,100 MASL","1,795 - 2,150 MASL",,,"1,350 MASL",Various,Various,Various,"1,960-2,400 MASL","1,870-2,000 MASL","1,900-2,300 MASL","1,600-2,000 MASL","1,600-2,000 MASL","2,200 MASL","1,900-2,020 MASL","1,600 MASL","1,800 MASL",,"2,150-2,300 MASL","1,200 - 1,900 MASL","1,800 - 2,000 MASL","2,150 - 2,350 MASL","1,500 MASL","1,400 - 2,100 MASL","1,550 MASL","1,450 MASL","1,730 MASL","1,100 - 1,800 MASL",,-,-,-,-
Brew Ratio,1:17,1:16,1:16,1:16,1:16,1:16.5,1:14,1:14,1:16,1:16,1:15,1:16.5,1:16.5,1:15.5,1:17,1:16,1:17,1:17,1:15.5,1:16,1:16,1:16,1:15.5,1:16,1:16.5,1:15.5,1:14,1:14.5,1:16,1:15,1:16.5,1:18,1:16.5,1:16.5,1:15,1:16,1:16,1:16,1:17 (1:16.5 Batch),1:16,1:16,1:15.5,1:15,1:16,1:15,1:15.5,1:17,1:16.5,1:16,1:15,1:16,1:16.5,1:16.5,1:16,1:16,1:16,1:15.5,1:17,1:16,1:15,1:15,1:16,1:15.5,"1:15 single/sb, 1:18 large batch",1:16.5,1:16.5,1:16,1:16.5,1:16
Bloom Ratio,1:3,1:2,1:2,1:2,1:3,1:3,1:2,1:2.5,1:3,1:3,1:2,1:3,1:3,1:2,1:3,1:2.5,1:2.5,1:2.5,1:2,1:2,1:2,1:2,1:2.5,1:2,1:3,1:2.5,1:1.5,1:3,1:3,1:3,1:3,1:3,1:3,1:3,2.5:1,3:1,1:2,1:2,1:2,1:2.5,1:2,1:2.5,1:2,1:3,1:3,1:3,1:3,1:3,1:3,1:2,1:2,1:3,1:3,1:3,1:3,1:1.5,1:1.5,1:2,1:2,1:2,1:2.5,1:2,1/3,1:2.5,1:3,1:3,1:2,1:2,Disabled
Bloom Time,45,30,30,30,120,45,5,30,30,35,30,30,30,35,60,40,45,45,40,30,30,30,23,40,30,40,25,45,45,45,45,40,45,45,40,45,45,30,30,30,30,30,30,35,60,30,45,40,60,20,35,45,45,35,30,"not specified, try 30-45",40-45s,40-45s,"35 single, 45 batch",30,45,35,30,35,35,35,30,27,-
